apt_name,price,address,station_distance,area,floor_plan,balcony,year
東銀座ロイアルハイツ,4500万円,東京都中央区築地４,都営浅草線「東銀座」徒歩4分,30.8m2（9.31坪）（壁芯）,1DK,2.5m2,1982年5月
ル・シック本駒込,4590万円,東京都文京区本駒込４-36-9,ＪＲ山手線「田端」徒歩9分,40.97m2（12.39坪）（壁芯）,1LDK,9.5m2,1996年9月
キャッスルマンション荒木町,4590万円,東京都新宿区荒木町,東京メトロ丸ノ内線「四谷三丁目」徒歩5分,43.58m2（壁芯）,1LDK,2.38m2,1983年11月
代々木コーポラス,4650万円,東京都渋谷区代々木３-8-1,小田急線「南新宿」徒歩6分,45.36m2（13.72坪）,2DK,14.26m2,1968年12月
ワコー千石マンション,4650万円,東京都文京区千石３,都営三田線「千石」徒歩12分,48.62m2（壁芯）,1LDK,6.6m2,1982年8月
オリエンタル南麻布,4680万円,東京都港区南麻布４,東京メトロ日比谷線「広尾」徒歩10分,42.54m2（壁芯）,1LDK,4.4m2,1984年11月
プリマシュロス文京本駒込,4680万円,東京都文京区本駒込４-７－２,東京メトロ南北線「本駒込」徒歩10分,38.88m2（壁芯）,1LDK,5.16m2,2012年12月
オリエンタル南麻布,4680万円,東京都港区南麻布４,東京メトロ日比谷線「広尾」徒歩8分,44.74m2（壁芯）,1LDK,14.68m2,1984年11月
≪当社売主・長谷工のリノベ≫オーベルジュ日本橋,4690万円,東京都中央区日本橋中洲,東京メトロ半蔵門線「水天宮前」徒歩5分,30.52m2（壁芯）,1K,6.8m2,2004年2月
サンセール神楽坂,4700万円,東京都新宿区西五軒町,東京メトロ有楽町線「江戸川橋」徒歩5分,36.72m2（壁芯）,1LDK,3.8m2,1992年2月
柏木ローズマンション,4780万円,東京都新宿区北新宿３,ＪＲ中央線「大久保」徒歩7分,57m2（壁芯）,2LDK,8.1m2,1973年4月
ストークメイジュ,4880万円,東京都渋谷区千駄ヶ谷４-５－１５,東京メトロ副都心線「北参道」徒歩2分,46.19m2（13.97坪）（壁芯）,1LDK,-,1978年10月
マンションニュー恵比寿,4899万円,東京都渋谷区恵比寿４,ＪＲ山手線「恵比寿」徒歩3分,43.16m2（13.05坪）（壁芯）,1LDK,6.28m2,1968年11月
柏木ローズマンション,4899万円,東京都新宿区北新宿３,ＪＲ総武線「大久保」徒歩8分,57m2（壁芯）,2LDK,8.1m2,1973年4月
３駅６路線利用可！【シャトー市ヶ谷】JR市ヶ谷駅６分…,4980万円,東京都新宿区市谷左内町,ＪＲ中央線「市ケ谷」徒歩6分,50.29m2（15.21坪）,1LDK,-,1969年1月
マートルコート下落合,4980万円,東京都新宿区上落合１,西武新宿線「下落合」徒歩2分,51m2（壁芯）,1DK+S（納戸）,6m2,1994年12月
デュオスカーラ新宿,4980万円,東京都新宿区新宿５,東京メトロ丸ノ内線「新宿三丁目」徒歩6分,35.4m2（壁芯）,1LDK,2m2,2002年5月
シティハウス日本橋,4980万円,東京都中央区新川１,東京メトロ日比谷線「茅場町」徒歩4分,33.6m2（壁芯）,ワンルーム,5.82m2,2003年8月
キャッスルマンション荒木町,4990万円,東京都新宿区荒木町,都営新宿線「曙橋」徒歩4分,43.58m2（壁芯）,1LDK,2.38m2,1983年11月
ファインライフ本駒込,4990万円,東京都文京区本駒込５-72-1,東京メトロ南北線「駒込」徒歩5分,57.69m2（17.45坪）（壁芯）,2LDK,2.35m2,1981年12月
スタンフオードコート,4999万円,東京都渋谷区富ヶ谷１,東京メトロ千代田線「代々木公園」徒歩3分,32.01m2（壁芯）,1LDK,4.2m2,1984年10月
代々木コンド,4999万円,東京都渋谷区代々木５,小田急線「代々木八幡」徒歩5分,42.54m2（壁芯）,2LDK,9.74m2,1972年10月
クレヴィア本郷,5180万円,東京都文京区本郷４,都営三田線「春日」徒歩1分,31m2（9.37坪）（壁芯）,1K,5.03m2,2008年12月
エクセルシオール文京大塚,5200万円,東京都文京区大塚６,東京メトロ丸ノ内線「新大塚」徒歩4分,44.11m2,1LDK+S（納戸）,7.36m2,1997年5月
ライオンズマンション高田馬場サウスレジデンス,5280万円,東京都新宿区百人町４,ＪＲ山手線「高田馬場」徒歩9分,40.92m2（壁芯）,1LDK,-,2005年5月
マンション白金台,5290万円,東京都港区白金台３,都営三田線「白金台」徒歩5分,40.54m2（12.26坪）（壁芯）,1LDK,3.78m2,1977年9月
マンション白金台,5290万円,東京都港区白金台３,都営三田線「白金台」徒歩4分,40.54m2（壁芯）,1LDK,3.78m2,1977年9月
メゾンドール代々木,5299万円,東京都渋谷区代々木１,ＪＲ山手線「代々木」徒歩4分,60.7m2（壁芯）,2LDK,6.58m2,1971年3月
ライオンズマンション矢来町,5299万円,東京都新宿区矢来町,東京メトロ東西線「神楽坂」徒歩3分,48.7m2（壁芯）,2LDK,8.43m2,1980年6月
東武ハイライン第２芝虎ノ門,5299万円,東京都港区虎ノ門３,東京メトロ日比谷線「神谷町」徒歩4分,46.01m2（壁芯）,1LDK,6.3m2,1981年6月
メゾンドール代々木,5299万円,東京都渋谷区代々木１,ＪＲ山手線「代々木」徒歩4分,60.7m2（壁芯）,2LDK,6m2,1971年3月
パークホームズ浜松町,5350万円,東京都港区海岸１,ＪＲ山手線「浜松町」徒歩5分,25.4m2（壁芯）,1K,5.32m2,2023年8月
コーポ麹町,5380万円,東京都千代田区三番町7-5,東京メトロ半蔵門線「半蔵門」徒歩7分,39.6m2,1LDK,-,1970年6月
コーポ麹町,5380万円,東京都千代田区三番町,都営新宿線「市ケ谷」徒歩8分,39.6m2（壁芯）,1LDK,-,1970年6月
第27宮庭マンション,5399万円,東京都文京区大塚４,東京メトロ丸ノ内線「新大塚」徒歩5分,58.95m2,2LDK,9.71m2,1979年9月
第27宮庭マンション,5399万円,東京都文京区大塚４,東京メトロ丸ノ内線「新大塚」徒歩3分,58.95m2（壁芯）,2LDK,9.71m2,1979年9月
清桜ハイツ,5480万円,東京都渋谷区桜丘町29-31,ＪＲ山手線「渋谷」徒歩6分,47.47m2（14.35坪）（壁芯）,1LDK,2.02m2,1970年9月
ライオンズマンション白金,5480万円,東京都港区白金３,東京メトロ南北線「白金高輪」徒歩6分,47.69m2（壁芯）,1LDK,5.49m2,1977年12月
サントーア哲学堂公園,5480万円,東京都新宿区西落合２,都営大江戸線「落合南長崎」徒歩9分,60.59m2（壁芯）,3LDK,7.84m2,1995年11月
清桜ハイツ,5480万円,東京都渋谷区桜丘町,ＪＲ山手線「渋谷」徒歩6分,47.47m2（壁芯）,1LDK,2.02m2,1970年9月
代々木ハビテーション,5480万円,東京都渋谷区元代々木町,東京メトロ千代田線「代々木公園」徒歩10分,61.92m2（壁芯）,3LDK,7.74m2,1968年12月
代々木ハビテーション,5480万円,東京都渋谷区元代々木町49-20,東京メトロ千代田線「代々木上原」徒歩10分,61.92m2（18.73坪）（壁芯）,3LDK,7.74m2,1968年11月
日本橋アムフラット,5499万円,東京都中央区日本橋中洲11-11,東京メトロ半蔵門線「水天宮前」徒歩7分,41.22m2（12.46坪）（壁芯）,1LDK,4.29m2,2025年2月
日本橋アムフラット,5499万円,東京都中央区日本橋中洲11-11,東京メトロ半蔵門線「水天宮前」徒歩7分,41.22m2（12.46坪）（壁芯）,1LDK,4.29m2,1995年1月
日本橋アムフラット,5499万円,東京都中央区日本橋中洲,東京メトロ半蔵門線「水天宮前」徒歩7分,41.22m2（壁芯）,1LDK,4.29m2,1995年1月
パールハイツ笹塚,5580万円,東京都渋谷区笹塚２-4-1,京王線「笹塚」徒歩4分,65.3m2（19.75坪）,2LDK,-,1974年11月
ライオンズマンション護国寺第３,5580万円,東京都文京区音羽２-11-21,東京メトロ有楽町線「護国寺」徒歩1分,46.2m2（13.97坪）（壁芯）,2LDK,6.6m2,1984年6月
三田綱町ハイツ,5680万円,東京都港区三田２,都営大江戸線「麻布十番」徒歩5分,46.93m2（壁芯）,1LDK+S（納戸）,6.3m2,1970年9月
明石町パークハウス,5680万円,東京都中央区明石町,東京メトロ有楽町線「新富町」徒歩5分,73.86m2（壁芯）,1LDK+S（納戸）,4.06m2,1998年3月
